holdings,shares
BRID,103085
MNRL,1222350
BFAM,1709102
BCOV,1147391
BHF,2508325
BSIG,1668547
BV,1160038
BCO,1394488
EAT,1274200
BMY,63737536
VTOL,829105
BRX,8395943
AVGO,11403734
BRMK,3477401
BR,3253841
BNL,1007589
BYFC,291631
BWEN,453193
BKD,5210871
BPYU,994875
BRKL,2194578
BRKS,2081190
BRO,6803336
BF.A,36869
BF.B,9746443
BRP,1204899
BRT,432323
BRKR,2793778
BC,2212270
BMTC,541211
BSQR,183538
BKE,810821
BBW,370547
BLDR,5790172
BMBL,1392482
BG,3743125
BURL,1869281
BFST,548608
BWXT,2673285
BY,603112
CFFI,84453
AI,392148
CCCC,239264
CABA,430777
CABO,152960
CBT,1557405
COG,11248465
CACI,709045
WHD,1341691
CADE,3382848
CDNS,7857585
CDZI,1246338
CZR,5581949
CAI,460122
CALM,1093816
CLBS,242446
CAMP,1163193
CVGW,435469
CAL,980891
CALB,187796
CWT,1354162
CALA,2126813
CALX,1467319
ELY,2675207
CPE,1040514
CLXT,316454
CMBM,217462
CATC,187524
CAC,390217
CPT,2755386
CPB,5547358
CWH,1073065
CNNE,2444897
CMD,956855
CPHC,35605
CBNK,257446
CCBG,266129
COF,12906112
CSU,46445
CFFN,3631192
CPRI,4255381
CSTR,488248
CMO,2857666
CPST,278631
CARA,1173368
CRDF,1022725
CAH,8264961
CSII,1066673
CDLX,697669
CATM,1004172
CDNA,1350670
CTRE,2696873
CARG,2514975
CSL,1502596
LOTZ,1031389
CG,5463707
KMX,4628215
CCL,23258504
PRTS,1010498
CRS,1341490
CSV,480071
CARR,24442312
TAST,982876
CARS,1815431
CARE,751867
CRI,1228789
CVNA,1990540
CASA,953724
CWST,1393544
CASY,1040156
CASI,2162041
CSPR,671067
CASS,382430
SAVA,889449
CSTL,506210
CSLT,3132276
CATB,514051
CTLT,4645024
CBIO,825860
CPRX,3094550
CTT,1401898
CAT,15323238
CATY,2102243
CATO,601776
CVCO,229004
CBFV,132764
YCBD,719500
CBZ,1409715
CBMB,66233
CBOE,3045763
CBRE,8993807
CBTX,566927
