holdings,shares
GRA,1869536
WTI,2680113
WNC,1460951
WAB,5109572
WDR,1683177
WTRH,2726520
WBA,20759742
WD,791840
WMT,39949020
DIS,50958994
WMG,2246888
HCC,1430842
WAFD,2104362
WPG,515094
WRE,2253696
WASH,440918
WCN,7410930
WM,11916187
WAT,1748940
WSBF,632796
WTRE,560595
WSO,924950
WTS,760801
W,1950268
WSTG,192328
WDFC,382100
WBS,2551741
WEC,8883100
WRI,3425712
WMK,446149
WBT,3559972
WFC,110803159
WELL,11775582
WEN,5052434
WERN,1648109
WSBC,1864417
WCC,1413648
WTBA,387779
WST,1978755
WABC,720919
WAL,2551422
WMC,1379251
WDC,8142576
WNEB,867779
WU,11617462
WLK,886680
WRK,7389388
WHG,351545
WEX,1245963
WEYS,195920
WY,21054254
WHLR,130830
WHR,1770319
WTM,81978
WSR,1117150
FREE,1092515
WOW,1509255
WYY,382431
WVVI,70689
WLDN,332362
WMB,28234972
WSM,2164756
WLFC,28942
WLTW,3640269
WSC,4495406
WINT,276529
WING,837082
WINA,68619
WGO,903297
WTFC,1622355
WTT,305882
WETF,3853331
WWW,2278467
WWD,1679172
WDAY,5076521
WKHS,3065456
WK,949813
WRLD,127379
INT,1689450
WWE,1313251
WOR,984455
WPC,4924717
WRAP,529456
WSFS,1405661
GWW,1288498
WW,1342647
WH,2623315
WYNN,2905334
XFOR,435331
XBIT,448358
XELB,151456
XEL,14807009
XNCR,1621193
XHR,3188800
XERS,1524523
XRX,4494886
XLNX,6912487
XOMA,198748
XPEL,462415
XPER,2963730
XPO,2580518
XSPA,1969600
XYL,5087847
YMAB,909758
YELL,1460909
YELP,1962596
YETI,2219438
YEXT,2866350
YTEN,38014
YORW,383247
YUM,8504765
YMTX,59786
ZBRA,1503821
ZDGE,318975
ZEN,3289595
ZNTL,803801
ZG,2284409
Z,3062822
ZBH,5845792
ZION,4647858
ZIOP,6063998
ZIXI,1508314
ZTS,13399770
ZGNX,1599686
ZOM,15064565
ZM,5217319
ZI,2196734
ZSAN,2566514
ZVO,826876
ZS,2082758
ZUMZ,583851
ZUO,2758077
ZYNE,674486
ZYXI,486706
ZNGA,28951336
