tickers,shares,,,,,
861,449499,,,,,
547,6410000,,,,,
4819,11900,,,,,
DLR,108073,,,,,
DIF-F,1759917,,,,,
APPS,31606,,,,,
DBL,9318,,,,,
DIN,5500,,,,,
DNP,18223,,,,,
039840,2745,,,,,
DIOD,15485,,,,,
DIOS,29484,,,,,
2379,8100,,,,,
DPLM,45474,,,,,
DIRR3,28542,,,,,
DLG,529491,,,,,
DCP,145496,,,,,
6146,10300,,,,,
DFS,119653,,,,,
DISCA,47888,,,,,
DISCK,137204,,,,,
DSY,154677,,,,,
DISH,99339,,,,,
DGH,24890,,,,,
DIA,673600,,,,,
DHC,80525,,,,,
DIVISLAB,43740,,,,,
DIXON,12425,,,,,
DC.,349075,,,,,
4461,2800,,,,,
DKSH,13455,,,,,
375500,6050,,,,,
DLF,221622,,,,,
DMC,1475900,,,,,
6141,35900,,,,,
DNB,398900,,,,,
DNO,188320,,,,,
DOC,2752,,,,,
002407,21300,,,,,
DOCU,70404,,,,,
DOHOL,389279,,,,,
DOAS,7386,,,,,
DHBK,759757,,,,,
DOHOME-F,317800,,,,,
DLB,23273,,,,,
DG,94906,,,,,
DLTR,91678,,,,,
DOL,116941,,,,,
DHG,169873,,,,,
DOM,108407,,,,,
D,314052,,,,,
DMP,23350,,,,,
DOM,166462,,,,,
DPZ,15417,,,,,
UFS,18962,,,,,
DCI,50363,,,,,
000640,1084,,,,,
170900,1528,,,,,
000423,20500,,,,,
600875,34300,,,,,
1072,156600,,,,,
489,1078000,,,,,
002672,86300,,,,,
895,27100,,,,,
005290,10365,,,,,
086450,8385,,,,,
001230,20267,,,,,
026960,11153,,,,,
002210,5053,,,,,
049770,596,,,,,
006040,415,,,,,
601198,89900,,,,,
189,326000,,,,,
241560,8654,,,,,
000150,1562,,,,,
336260,10909,,,,,
034020,76062,,,,,
042670,48176,,,,,
336370,4399,,,,,
DOKA,1094,,,,,
DORM,9359,,,,,
7483,8500,,,,,
002901,5500,,,,,
192080,3487,,,,,
DEI,68437,,,,,
3087,9200,,,,,
DOYU,32974,,,,,
012510,7122,,,,,
DOV,22034,,,,,
DOV,55770,,,,,
DOW,289318,,,,,
5714,17000,,,,,
DOW,248741,,,,,
DHI,129225,,,,,
LALPATHLAB,13127,,,,,
DRREDDY,41940,,,,,
4013,31355,,,,,
DRW3,2998,,,,,
DRW8,3032,,,,,
DKNG,118130,,,,,
DSI,114862,,,,,
DRX,132998,,,,,
DRBHCOM,333800,,,,,
DRCSYSTEMS,411,,,,,
DRD,138281,,,,,
D.UN,15117,,,,,
DRQ,11400,,,,,
DRLCO,7206,,,,,
DBX,91124,,,,,
SMDS,478714,,,,,
DSV,78179,,,,,
DTE,74540,,,,,
9682,14000,,,,,
DFM,659693,,,,,
DIC,659013,,,,,
DIB,635648,,,,,
DCT,27433,,,,,
DUE,17049,,,,,
DUFN,20647,,,,,
213420,4300,,,,,
DUK,284215,,,,,
DRE,146112,,,,,
DNB,52482,,,,,
DNLM,49183,,,,,
DD,210277,,,,,
4010,13720,,,,,
DTEX3,99885,,,,,
4665,14000,,,,,
DWS,12857,,,,,
DXC,101146,,,,,
1598,36000,,,,,
DY,11482,,,,,
2590,3700,,,,,
DND,13925,,,,,
6889,72400,,,,,
6251,94760,,,,,
3211,43000,,,,,
DT,69121,,,,,
8069,349000,,,,,
2048,195900,,,,,
139480,7185,,,,,
EOAN,842895,,,,,
2884,4591370,,,,,
017940,906,,,,,
EGBN,11100,,,,,
BWPT,2054500,,,,,
LIW,242300,,,,,
6486,9900,,,,,
EXP,15552,,,,,
4985,4700,,,,,
300376,55600,,,,,
9020,141205,,,,,
300059,219760,,,,,
EWBC,56026,,,,,
EAST,372204,,,,,
900941,175800,,,,,
3080,13957,,,,,
EGP,14167,,,,,
EMN,56755,,,,,
EZJ,84655,,,,,
ETN,154826,,,,,
6361,34900,,,,,
3835,7100,,,,,
EBAY,253334,,,,,
EBIX,10260,,,,,
EBO,35516,,,,,
EBRO,28572,,,,,
SATS,16414,,,,,
1476,75166,,,,,
ECLERX,4918,,,,,
ECX,79787,,,,,
ECN,75845,,,,,
ECL,96052,,,,,
ECONB,56008,,,,,
EC,42463,,,,,
ECOPETROL,971880,,,,,
247540,2910,,,,,
086520,6927,,,,,
ECOR3,81353,,,,,
603486,18800,,,,,
EDELWEISS,205827,,,,,
EDEN,97587,,,,,
EPC,20370,,,,,
002351,29474,,,,,
2730,27900,,,,,
EIX,138592,,,,,
EDIT,27329,,,,,
EDP,1122049,,,,,
ENBR3,127367,,,,,
EDPR,110903,,,,,
EW,240030,,,,,
EFGN,26628,,,,,
EGEEN,387,,,,,
6462,27000,,,,,
8771,11900,,,,,
EKHO,320959,,,,,
HRHO,207673,,,,,
EHTH,8834,,,,,
8541,18400,,,,,
EICHERMOT,49760,,,,,
EIDPARRY,40323,,,,,
FGR,29801,,,,,
EIHOTEL,170628,,,,,
4549,10500,,,,,
ECILC,60942,,,,,
4523,104100,,,,,
6737,11600,,,,,
LIVEPOLC-1,70400,,,,,
6099,10200,,,,,
2458,116400,,,,,
ELAN,181990,,,,,
ESTC,24552,,,,,
ESLT,9011,,,,,
ELD,60037,,,,,
ELD,62830,,,,,
6750,22800,,,,,
ELTR,695,,,,,
9513,58200,,,,,
,,,,,,
,,,,,,
,,,,,,
EDF,65951,,,,,
Foreign,93100,,,,,
EOS,38619,,,,,
ECM,178653,,,,,
ELUX B,97282,,,,,
EPRO B,79280,,,,,
EA,110479,,,,,
EKTA B,131730,,,,,
2715,6200,,,,,
EFN,161304,,,,,
ESI,78110,,,,,
ELM,200961,,,,,
LLY,327175,,,,,
ELI,15912,,,,,
ELIOR,38533,,,,,
0RA8,17164,,,,,
ELIS,64651,,,,,
ELISA,57096,,,,,
3450,67412,,,,,
2383,146000,,,,,
3006,66000,,,,,
2331,73000,,,,,
ELK,75776,,,,,
ELLAKTOR,46666,,,,,
ZIL2,11374,,,,,
SWDY,296180,,,,,
4820,11000,,,,,
EMAARDEV,270876,,,,,
4220,146654,,,,,
EMAARMALLS,749716,,,,,
EMAAR,1362484,,,,,
EMAMILTD,66125,,,,,
EMBASSY,163200,,,,,
ANDINA-B,61493,,,,,
EMBR3,273400,,,,,
EME,20496,,,,,
EHL,242499,,,,,
3529,27000,,,,,
EMA,99196,,,,,
EBS,16236,,,,,
EMR,231178,,,,,
EMI,204487,,,,,
EMIRATESNB,949058,,,,,
ETISALAT,647708,,,,,
EML,105956,,,,,
EKGYO,733255,,,,,
EMMN,682,,,,,
717,36000,,,,,
EMP.A,65908,,,,,
ESRT,50986,,,,,
EIG,11517,,,,,
ENTEL,52751,,,,,
CMPC,431120,,,,,
COPEC,182930,,,,,
EMSN,2734,,,,,
4849,10700,,,,,
ENG,97221,,,,,
ENTA,12338,,,,,
ENAT3,23045,,,,,
ENAV,86759,,,,,
ENB,786780,,,,,
ECV,33431,,,,,
ENC,44717,,,,,
EHC,38407,,,,,
ECPG,11915,,,,,
WIRE,6900,,,,,
EDV,67100,,,,,
ELE,125493,,,,,
ENDP,80789,,,,,
ENDURANCE,14247,,,,,
ENA,55620,,,,,
ENIA,485,,,,,
ENELAM,10073947,,,,,
ENIC,65984,,,,,
ENELCHILE,6806084,,,,,
ENRU,26630000,,,,,
ENEL,3020924,,,,,
ENOG,39728,,,,,
ENGI11,89015,,,,,
ENRG,59170,,,,,
ENR,28889,,,,,
EA-F,798400,,,,,
ENJSA,116815,,,,,
EPAC,29920,,,,,
ERF,95216,,,,,
ENS,18465,,,,,
ENEV3,244568,,,,,
102710,1689,,,,,
ENGH,14501,,,,,
EGIE3,62075,,,,,
ECL,169857,,,,,
,,,,,,
,,,,,,
ENGI,234459,,,,,
ENGINERSIN,49898,,,,,
ENGRO,99000,,,,,
EFERT,189840,,,,,
ENI,971983,,,,,
3665,8700,,,,,
ENKAI,283192,,,,,
ENLT,200961,,,,,
600803,60100,,,,,
2688,315318,,,,,
6414,33664,,,,,
3714,196897,,,,,
ENPH,41990,,,,,
6961,3200,,,,,
NPO,7200,,,,,
ENSG,19134,,,,,
ESGR,4610,,,,,
ENTG,53380,,,,,
ETR,77885,,,,,
ENTRA,62591,,,,,
ENV,19721,,,,,
NVST,60678,,,,,
183490,1879,,,,,
039030,2799,,,,,
294090,3351,,,,,
EOG,226521,,,,,
300502,10900,,,,,
EPAM,21023,,,,,
EPI A,259787,,,,,
EPI B,132633,,,,,
3707,109000,,,,,
EPZM,33673,,,,,
EPL,56156,,,,,
EPP,168559,,,,,
EPR,27742,,,,,
4282,11300,,,,,
EQT,75800,,,,,
EQT,102131,,,,,
EQTL3,331776,,,,,
EFX,47775,,,,,
EQN,97712,,,,,
EQIX,34577,,,,,
EQNR,382683,,,,,
EQX,67921,,,,,
EQH,158961,,,,,
EQTL,5802,,,,,
EQUITAS,78491,,,,,
EQU,192699,,,,,
ETRN,155187,,,,,
EQC,40094,,,,,
ELS,69403,,,,,
EQR,145020,,,,,
ERA,2680,,,,,
EREGL,486692,,,,,
9517,10600,,,,,
ERG,19633,,,,,
ERIS,22202,,,,,
EBS,117929,,,,,
8892,10700,,,,,
ESE,9433,,,,,
ESCORTS,24205,,,,,
073070,5457,,,,,
6859,7500,,,,,
ESPR,8700,,,,,
330,900346,,,,,
1821,685589,,,,,
J91U,744443,,,,,
ESNT,41627,,,,,
EPRT,36625,,,,,
WTRG,95757,,,,,
ESNT,116330,,,,,
ESS,25691,,,,,
EL,114187,,,,,
ESSITY B,239654,,,,,
ESSO-F,357200,,,,,
EL,87519,,,,,
EHE,60540,,,,,
002747,18600,,,,,
MAU,6895,,,,,
002183,108900,,,,,
1717,380919,,,,,
7020,144224,,,,,
5351,74467,,,,,
ETSY,46389,,,,,
001200,17472,,,,,
084370,3601,,,,,
2931,24300,,,,,
,,,,,,
RF,7107,,,,,
EUROB,875225,,,,,
EUR,25178,,,,,
ECMPA,16497,,,,,
ERF,47618,,,,,
ERM,37112,,,,,
EURN,99526,,,,,
EEFT,18804,,,,,
ENX,24526,,,,,
EKT,36284,,,,,
000700,17557,,,,,
ETL,63611,,,,,
263050,2960,,,,,
2618,803817,,,,,
300014,47005,,,,,
EVEN3,35991,,,,,
EVT,39152,,,,,
1995,208000,,,,,
EVBG,13005,,,,,
600622,157200,,,,,
601788,72700,,,,,
6178,150600,,,,,
EVR,14815,,,,,
RE,15940,,,,,
2607,160000,,,,,
2603,887956,,,,,
EVRG,90164,,,,,
1711,131240,,,,,
2393,185000,,,,,
ES,134167,,,,,
EVTC,22675,,,,,
EVN,12654,,,,,
6191,5625,,,,,
EVH,27095,,,,,
EVO,62726,,,,,
EVN,593105,,,,,
EVK,71636,,,,,
AQUA,43616,,,,,
EVT,54190,,,,,
EVR,214353,,,,,
SSP,22243,,,,,
EXAS,58206,,,,,
7278,11700,,,,,
EXEL,123399,,,,,
EXC,379845,,,,,
EXIDEIND,219481,,,,,
EXLS,12252,,,,,
EXO,40762,,,,,
EXPI,18735,,,,,
EXPE,53859,,,,,
EXPD,67465,,,,,
EXPN,353301,,,,,
EXPO,19155,,,,,
STAY,65044,,,,,
EXR,51424,,,,,
EXX,91868,,,,,
XOM,1642767,,,,,
EZTC3,33961,,,,,
2206,19000,,,,,
ERES,611170,,,,,
5DN,344056,,,,,
007700,1973,,,,,
FSC1V,41897,,,,,
FFIV,24923,,,,,
2461,13700,,,,,
FABG,97918,,,,,
FN,18648,,,,,
FB,933711,,,,,
FDS,14666,,,,,
FAE,109984,,,,,
FAGR,32795,,,,,
FICO,11175,,,,,
FFH,10744,,,,,
FKR,42216,,,,,
FBR,36851,,,,,
4921,26100,,,,,
600516,156135,,,,,
600507,102800,,,,,
FANH,12865,,,,,
1777,861000,,,,,
6954,75991,,,,,
35,401000,,,,,
3360,897000,,,,,
Q5T,472400,,,,,
2903,405115,,,,,
2845,908955,,,,,
1402,1453279,,,,,
4904,585000,,,,,
3035,76800,,,,,
FTCH,88746,,,,,
5522,110000,,,,,
FARO,7831,,,,,
9983,20100,,,,,
FAST,223685,,,,,
BALD B,37844,,,,,
FSLY,29622,,,,,
FATE,29599,,,,,
FTAL,2178,,,,,
FCCL,448621,,,,,
FFC,227400,,,,,
EO,44800,,,,,
EO,7287,,,,,
000800,55600,,,,,
4240,59062,,,,,
FFG,3500,,,,,
7296,13900,,,,,
6955,4900,,,,,
FDM,29864,,,,,
FEDERALBNK,519946,,,,,
2102,170612,,,,,
FEES,97070000,,,,,
FRT,30726,,,,,
FSS,22217,,,,,
FHI,35431,,,,,
FDX,94557,,,,,
2060,7580,,,,,
033180,49375,,,,,
300386,63700,,,,,
9910,166509,,,,,
FERG,86491,,,,,
RACE,47669,,,,,
FXPO,103570,,,,,
FOE,47027,,,,,
,,,,,,
FER,187684,,,,,
FFGRP,12862,,,,,
FFP,1670,,,,,
9450,2603,,,,,
600498,24800,,,,,
FIBIH,5434,,,,,
300638,8300,,,,,
FUNO11,1109773,,,,,
FGEN,30576,,,,,
8713,87900,,,,,
FNF,108272,,,,,
FIS,239944,,,,,
FIE,9003,,,,,
FITB,278664,,,,,
2038,1002000,,,,,
081660,19401,,,,,
FLI,3219000,,,,,
FIN,58416,,,,,
7148,16200,,,,,
000402,285300,,,,,
ODET,135,,,,,
FCT,123712,,,,,
FBK,255450,,,,,
FCL,64697,,,,,
FIA1S,288850,,,,,
FTT,61282,,,,,
FINCABLES,13566,,,,,
FEYE,91132,,,,,
8076,115127,,,,,
FAB,1717414,,,,,
FAF,40158,,,,,
FBP,83156,,,,,
FCR.UN,86150,,,,,
002797,102900,,,,,
FCNCA,2354,,,,,
FCF,33977,,,,,
FFBC,36185,,,,,
FFIN,55030,,,,,
2892,3917690,,,,,
FGEN,228650,,,,,
FHB,48772,,,,,
FHN,206200,,,,,
FR,46897,,,,,
FIBI,17322,,,,,
FR,75385,,,,,
FRME,25058,,,,,
FMBI,40182,,,,,
FN,7029,,,,,
142,901200,,,,,
FM,226464,,,,,
AW9U,263736,,,,,
FRC,67219,,,,,
EB5,192400,,,,,
FSLR,34248,,,,,
38,184000,,,,,
FCFS,15497,,,,,
FE,211925,,,,,
FGP,534615,,,,,
FSR,1932652,,,,,
FSV,13443,,,,,
FSL,114958,,,,,
FISV,221880,,,,,
FPH,230949,,,,,
6088,441000,,,,,
4961,51000,,,,,
6706,14781,,,,,
FIVE,22532,,,,,
FIVN,24683,,,,,
FVRR,9850,,,,,
3687,6600,,,,,
FBC,24777,,,,,
6865,173000,,,,,
FLT,32033,,,,,
FBU,345241,,,,,
FLRY3,86200,,,,,
FLEX,188778,,,,,
6269,106154,,,,,
FLT,50463,,,,,
FLIR,50080,,,,,
FND,38028,,,,,
FLOW,8772,,,,,
FLO,72426,,,,,
FLS,48410,,,,,
FLS,17885,,,,,
FLU,3428,,,,,
FHZN,6963,,,,,
FDR,36435,,,,,
FLR,50752,,,,,
FLTR,62692,,,,,
6206,74853,,,,,
FMC,51537,,,,,
FNAC,6138,,,,,
FNB,122590,,,,,
3545,56655,,,,,
002027,363700,,,,,
300203,29600,,,,,
FEMSAUBD,727766,,,,,
093370,21080,,,,,
FL,38406,,,,,
FORN,345,,,,,
F,1515194,,,,,
FROTO,22288,,,,,
FFARM,20499,,,,,
FORM,28445,,,,,
1326,1288259,,,,,
2707,36058,,,,,
6505,530140,,,,,
1301,1948873,,,,,
3532,26000,,,,,
1434,352000,,,,,
2107,99890,,,,,
FORTY,2809,,,,,
FORR,4285,,,,,
FMG,623751,,,,,
FTNT,52355,,,,,
FORTIS,192818,,,,,
FTS,181691,,,,,
FTV,115567,,,,,
FFA,432641,,,,,
FFB,440214,,,,,
FORTUM,167207,,,,,
FBHS,54758,,,,,
778,433923,,,,,
FWRD,10621,,,,,
TFG,114867,,,,,
603288,28700,,,,,
002449,15600,,,,,
6794,5600,,,,,
656,910464,,,,,
601901,204400,,,,,
FCPT,25916,,,,,
FOYRK,16670,,,,,
FOXA,140412,,,,,
FOX,54582,,,,,
FOXF,15345,,,,,
FOX,1956,,,,,
601138,77900,,,,,
2354,472514,,,,,
3413,29900,,,,,
7947,16400,,,,,
7840,14000,,,,,
FNV,73977,,,,,
FELE,17428,,,,,
BEN,104126,,,,,
FRA,15233,,,,,
F&N,40700,,,,,
J69U,402552,,,,,
FRAS,65786,,,,,
ACV,277100,,,,,
BUOU,984176,,,,,
TQ5,30451,,,,,
FTREIT-F,527880,,,,,
FNTN,52111,,,,,
FCX,563987,,,,,
FRE,74322,,,,,
BRE,52273,,,,,
FME,75986,,,,,
FRE,157912,,,,,
FDP,10395,,,,,
FRPT,16327,,,,,
FRES,67422,,,,,
1521,186000,,,,,
FTDR,34844,,,,,
8964,131,,,,,
FRONTKN,355600,,,,,
FRO,34474,,,,,
3015,84000,,,,,
FCN,12753,,,,,
603345,6100,,,,,
1448,496000,,,,,
2881,2773880,,,,,
FPE3,19974,,,,,
FPE,20068,,,,,
1813,4400,,,,,
FCEL,118130,,,,,
546,481000,,,,,
FUR,32885,,,,,
8278,6500,,,,,
6134,30300,,,,,
6504,52477,,,,,
9010,8700,,,,,
4676,12400,,,,,
2607,16000,,,,,
4554,5200,,,,,
7864,14900,,,,,
9749,7900,,,,,
600802,92100,,,,,
002396,20600,,,,,
002299,31200,,,,,
603678,10000,,,,,
3104,3700,,,,,
2908,7400,,,,,
4901,144700,,,,,
4620,10600,,,,,
5803,93600,,,,,
5384,6400,,,,,
7917,5900,,,,,
2752,11300,,,,,
9722,2500,,,,,
6406,27300,,,,,
6755,18500,,,,,
6702,74840,,,,,
2211,4300,,,,,
1899,1200,,,,,
8362,8000,,,,,
9790,2200,,,,,
8354,57564,,,,,
8968,248,,,,,
6420,5400,,,,,
9075,12500,,,,,
9802,43029,,,,,
4848,8066,,,,,
607,4505000,,,,,
FULT,58875,,,,,
9757,9750,,,,,
FCH,42016,,,,,
6937,2150,,,,,
5715,10600,,,,,
5801,22700,,,,,
6814,5100,,,,,
6670,68000,,,,,
4368,7100,,,,,
4538,2200,,,,,
6986,8400,,,,,
7241,16800,,,,,
FCONSUMER,168529,,,,,
4722,8600,,,,,
FUTR,44322,,,,,
FRETAIL,65433,,,,,
600660,91400,,,,,
3606,160400,,,,,
8424,6400,,,,,
7508,2600,,,,,
603444,2400,,,,,
GIII,16670,,,,,
5970,7500,,,,,
115450,8690,,,,,
GFS,582698,,,,,
GEM,359410,,,,,
GAIL,613486,,,,,
9470,6000,,,,,
GLPG,17964,,,,,
27,844000,,,,,
GXY,170224,,,,,
GALE,20550,,,,,
GALP,206752,,,,,
GAM,44025,,,,,
6180,62000,,,,,
GAW,11868,,,,,
GYS,32396,,,,,
063080,3293,,,,,
GLPI,79816,,,,,
GAMUDA,819200,,,,,
603087,5611,,,,,
002460,27900,,,,,
1772,54200,,,,,
600720,31200,,,,,
GPS,68129,,,,,
GRMN,58558,,,,,
IT,34155,,,,,
GDL,64049,,,,,
GATX,12611,,,,,
GZT,29496,,,,,
OGZD,1602292,,,,,
GAZP,872121,,,,,
GTT,7854,,,,,
2174,10800,,,,,
451,1670000,,,,,
002506,181900,,,,,
3800,7206604,,,,,
GCP,16995,,,,,
GDI,205497,,,,,
GDS,43867,,,,,
9698,3931,,,,,
GEPIL,13473,,,,,
G1A,61974,,,,,
GEBN,13747,,,,,
GFC,20785,,,,,
9991,3200,,,,,
175,2100200,,,,,
GEKTERNA,15796,,,,,
002340,153900,,,,,
600383,111700,,,,,
535,2166000,,,,,
4906,102000,,,,,
082270,11309,,,,,
011000,16367,,,,,
GNRC,23974,,,,,
GD,97737,,,,,
GE,3379357,,,,,
GICRE,92423,,,,,
6456,63000,,,,,
GIS,236149,,,,,
GM,484159,,,,,
4171,11000,,,,,
2666,349000,,,,,
GNE,170055,,,,,
095700,7018,,,,,
000676,64200,,,,,
3406,29911,,,,,
9267,8400,,,,,
GMAB,23643,,,,,
LABB,233863,,,,,
G,76347,,,,,
1548,336000,,,,,
GENTERA*,391800,,,,,
GNTX,122075,,,,,
THRM,11700,,,,,
GENTING,862800,,,,,
GENM,1032900,,,,,
GENP,153200,,,,,
G13,2168000,,,,,
GPC,54718,,,,,
GNS,24965,,,,,
GNW,179601,,,,,
GMA,104301,,,,,
GEO,39698,,,,,
2681,9300,,,,,
FI-N,1908,,,,,
WN,26653,,,,,
GGB,122721,,,,,
GGBR4,272300,,,,,
GXI,11724,,,,,
GEST,52799,,,,,
3005,192000,,,,,
GETI B,89788,,,,,
GET,187912,,,,,
GTY,12711,,,,,
000776,182700,,,,,
1776,547000,,,,,
GFH,1337660,,,,,
GFL,45853,,,,,
GFPT-F,164000,,,,,
9921,110881,,,,,
ROCK,11800,,,,,
GEI,68335,,,,,
2376,233000,,,,,
603986,11037,,,,,
3691,6400,,,,,
2406,111064,,,,,
6289,6700,,,,,
GILT,10809,,,,,
GIL,78235,,,,,
GILD,485286,,,,,
GILLETTE,4702,,,,,
GIMB,6225,,,,,
8406,23100,,,,,
300763,14600,,,,,
709,354000,,,,,
GIVN,3590,,,,,
GJF,62418,,,,,
GLO,3863,,,,,
GBCI,35282,,,,,
GL9,73085,,,,,
GKOS,15843,,,,,
GLAXO,15254,,,,,
GSK,1914815,,,,,
GLEN,4227968,,,,,
GLENMARK,49986,,,,,
GBT,21885,,,,,
6191,67000,,,,,
DOM,47418,,,,,
GFG,40481,,,,,
BMTR,1211000,,,,,
8081,34000,,,,,
GNL,29868,,,,,
8958,341,,,,,
GPN,115335,,,,,
GPSC-F,258993,,,,,
3443,34000,,,,,
6488,87000,,,,,
GLOB,16166,,,,,
GL,41394,,,,,
GLO,10105,,,,,
9934,65000,,,,,
7990,3600,,,,,
GMED,27475,,,,,
002410,18900,,,,,
5009,125000,,,,,
6457,17300,,,,,
1282,5420000,,,,,
3281,1166,,,,,
3788,2222,,,,,
9449,21400,,,,,
3769,14906,,,,,
GMRINFRA,1118695,,,,,
GN,52434,,,,,
GOG,17800,,,,,
GDDY,66836,,,,,
5410,5000,,,,,
GODREJAGRO,25053,,,,,
GODREJCP,130325,,,,,
GODREJIND,34381,,,,,
GODREJPROP,30474,,,,,
002241,80300,,,,,
GOLL4,59544,,,,,
GLNG,47306,,,,,
2368,159000,,,,,
GFI,353691,,,,,
GOR,290876,,,,,
300349,11000,,,,,
8871,7500,,,,,
E5H,2153019,,,,,
002636,17800,,,,,
GS,129933,,,,,
2504,462137,,,,,
8111,13200,,,,,
215000,1620,,,,,
493,5029720,,,,,
603195,6100,,,,,
GMG,716464,,,,,
GMT,394176,,,,,
GT,85759,,,,,
2723,28245,,,,,
GPT,726110,,,,,
6541,7038,,,,,
GGG,62395,,,,,
EAF,63832,,,,,
GFTU,81357,,,,,
GHC,1384,,,,,
GNC,141026,,,,,
GRI,233095,,,,,
LOPE,17054,,,,,
GYC,37098,,,,,
114090,8051,,,,,
1312,257000,,,,,
600323,31200,,,,,
000031,107100,,,,,
GVNV,16627,,,,,
GRNG,39279,,,,,
GVA,16155,,,,,
GRT.UN,23093,,,,,
GRANULES,48122,,,,,
1707,43000,,,,,
GPK,95514,,,,,
GRAPHITE,17663,,,,,
GRASIM,146035,,,,,
GTN,31375,,,,,
GC,21143,,,,,
41,82000,,,,,
GESHIP,55352,,,,,
GPOR,92961,,,,,
1210,221501,,,,,
601633,139400,,,,,
2333,1232058,,,,,
GWB,26490,,,,,
GWO,99020,,,,,
2441,112000,,,,,
600094,131500,,,,,
468,426000,,,,,
000651,46500,,,,,
3632,29100,,,,,
600185,50900,,,,,
031390,1282,,,,,
006280,1884,,,,,
005250,10638,,,,,
144510,3813,,,,,
GDOT,19868,,,,,
GBX,12050,,,,,
GNC,232499,,,,,
600606,170300,,,,,
337,275000,,,,,
3900,289879,,,,,
2869,408000,,,,,
GRG,35316,,,,,
GEF,9000,,,,,
3150,13400,,,,,
GRND3,94600,,,,,
GLJ,10252,,,,,
002152,88897,,,,,
GSF,19835,,,,,
GFF,16625,,,,,
GRF.P,3613,,,,,
GRF,135069,,,,,
GO,26221,,,,,
GPI,6100,,,,,
GBLB,42175,,,,,
GOZ,92600,,,,,
GRT,1347441,,,,,
GRUB,34469,,,,,
GRUMAB,82085,,,,,
ATT,12412,,,,,
LTS,32771,,,,,
OMAB,127800,,,,,
GAPB,138950,,,,,
ASURB,75216,,,,,
GRUPOARGOS,103482,,,,,
PFAVAL,1430144,,,,,
BIMBOA,980900,,,,,
GCARSOA1,171767,,,,,
GCO,19046,,,,,
GCC*,53800,,,,,
CHDRAUIB,171300,,,,,
PFGRUPSURA,46730,,,,,
GRUPOSURA,75133,,,,,
SOMA3,57700,,,,,
ELEKTRA*,23499,,,,,
GFNORTEO,1142903,,,,,
GFINBURO,828500,,,,,
HERDEZ*,103100,,,,,
LALAB,224900,,,,,
GMEXICOB,1205383,,,,,
AGUA*,65251,,,,,
SBFG3,51109,,,,,
TLEVISACPO,785734,,,,,
MOL,8773,,,,,
006360,20554,,,,,
078930,18512,,,,,
028150,2755,,,,,
007070,10907,,,,,
6674,26900,,,,,
GSX,16491,,,,,
GTCAP,34975,,,,,
000690,92800,,,,,
300083,49700,,,,,
200539,239743,,,,,
603328,53100,,,,,
000712,32500,,,,,
002311,39077,,,,,
600673,71200,,,,,
002683,17500,,,,,
270,1102000,,,,,
002791,4600,,,,,
002600,169000,,,,,
200429,129300,,,,,
300770,7200,,,,,
002233,59300,,,,,
002705,19900,,,,,
600256,168300,,,,,
601333,177800,,,,,
525,336000,,,,,
600236,81800,,,,,
600368,31300,,,,,
601238,128600,,,,,
2238,1071399,,,,,
600004,33900,,,,,
600332,23500,,,,,
874,114000,,,,,
002465,57400,,,,,
603882,9600,,,,,
2777,678600,,,,,
603043,10100,,,,,
300616,4400,,,,,
002841,6597,,,,,
002709,17900,,,,,
300482,10100,,,,,
000987,33400,,,,,
002461,40100,,,,,
GUAR3,29000,,,,,
GH,32274,,,,,
GUBRF,36375,,,,,
GUD,61137,,,,,
GGRM,185500,,,,,
3680,17201,,,,,
GBT,2723,,,,,
GES,17200,,,,,
GWRE,34387,,,,,
600996,71800,,,,,
600903,53700,,,,,
600395,100400,,,,,
002025,9800,,,,,
002390,41500,,,,,
GUJGASLTD,75461,,,,,
GPPL,99346,,,,,
GSPL,80745,,,,,
GBK,596345,,,,,
GULF-F,1487980,,,,,
GISS,282740,,,,,
4229,3100,,,,,
3765,13070,,,,,
GUNKUL-F,1545899,,,,,
8334,155000,,,,,
6047,1500,,,,,
3002,5600,,,,,
000688,30854,,,,,
601456,42200,,,,,
002093,27800,,,,,
002736,136055,,,,,
002670,65600,,,,,
1788,860000,,,,,
601211,178800,,,,,
2611,418600,,,,,
002074,31000,,,,,
000728,88920,,,,,
2440,12400,,,,,
ENT,226535,,,,,
GVS,24877,,,,,
GWA,108684,,,,,
LUN,21958,,,,,
HEES,12733,,,,,
HRB,71757,,,,,
HR.UN,110674,,,,,
8242,27300,,,,,
HBL,213200,,,,,
8359,191700,,,,,
Bearer,333446,,,,,
HAE,19916,,,,,
6862,352000,,,,,
600690,155899,,,,,
6690,806400,,,,,
3001,29572,,,,,
HAIN,35969,,,,,
357,89000,,,,,
300630,10725,,,,,
002653,23700,,,,,
1882,203000,,,,,
665,988038,,,,,
600837,141000,,,,,
6837,1605539,,,,,
2433,88500,,,,,
7433,5492,,,,,
HFD,74716,,,,,
060980,2411,,,,,
HAL,354185,,,,,
HLMA,151544,,,,,
2742,4200,,,,,
HALO,49164,,,,,
9037,5300,,,,,
6965,46900,,,,,
HHFA,8088,,,,,
HLNE,11463,,,,,
HMSO,1843916,,,,,
002008,29697,,,,,
086790,113427,,,,,
Foreign,292700,,,,,
039130,3906,,,,,
009420,14377,,,,,
HWC,32915,,,,,
030520,8867,,,,,
020000,5208,,,,,
,,,,,,
HBI,136684,,,,,
10,322000,,,,,
101,751000,,,,,
11,277351,,,,,
