tickers,shares,,,,,
AMT,171342,,,,,
AWK,70195,,,,,
AMWL,21295,,,,,
AMWD,8474,,,,,
COLD,89703,,,,,
AMP,46116,,,,,
ABCB,29051,,,,,
ABC,57937,,,,,
AME,88738,,,,,
AMG,8622,,,,,
AMGN,226324,,,,,
092040,8149,,,,,
FOLD,96196,,,,,
AMKR,35079,,,,,
AMBANK,676400,,,,,
AMN,17471,,,,,
AMRX,48745,,,,,
090435,13021,,,,,
090430,10641,,,,,
002790,9748,,,,,
AMOT,55205,,,,,
300685,6500,,,,,
AMP,1305994,,,,,
APH,235847,,,,,
AMP,45323,,,,,
ALD,97212,,,,,
EAT,24770,,,,,
AMS,94417,,,,,
AMTEKAUTO,7896,,,,,
2489,359000,,,,,
AMUN,21845,,,,,
4301,3000,,,,,
000543,162200,,,,,
9202,58430,,,,,
AEFES,57339,,,,,
ADI,143774,,,,,
025980,14330,,,,,
PLAN,54421,,,,,
6533,12000,,,,,
ANDR,25793,,,,,
ADN,811258,,,,,
ANTM,3142000,,,,,
6381,13700,,,,,
347,566800,,,,,
600298,20300,,,,,
AMS,22803,,,,,
AAL,483079,,,,,
ANG,163928,,,,,
ABI,321690,,,,,
300009,47500,,,,,
600585,108900,,,,,
914,457000,,,,,
600012,92100,,,,,
995,116000,,,,,
603429,12400,,,,,
000596,7300,,,,,
200596,52300,,,,,
600971,107600,,,,,
002541,11900,,,,,
002597,12400,,,,,
603589,5900,,,,,
000887,30600,,,,,
8715,24400,,,,,
ANIM3,132984,,,,,
ANIM,108107,,,,,
NLY,570215,,,,,
ANNE B,13685,,,,,
6754,50800,,,,,
ANN,47291,,,,,
ANSS,33503,,,,,
2020,398000,,,,,
AM,105721,,,,,
AR,84777,,,,,
065660,1829,,,,,
ANTM,96581,,,,,
ANTO,128755,,,,,
,,,,,,
AOS,49530,,,,,
AO.,101244,,,,,
8214,8800,,,,,
8342,6700,,,,,
AON,87517,,,,,
002239,78200,,,,,
8219,14200,,,,,
8304,46390,,,,,
APE,72137,,,,,
6531,21350,,,,,
MAERSK A,1735,,,,,
MAERSK B,2253,,,,,
APA,151395,,,,,
APA,474790,,,,,
AIRC,54612,,,,,
AIV,52743,,,,,
APLS,22489,,,,,
000739,35000,,,,,
APAM,15396,,,,,
4927,65000,,,,,
APGN,321,,,,,
APHA,117212,,,,,
APG,52267,,,,,
APLAPOLLO,35217,,,,,
ADI,67515,,,,,
APOG,8600,,,,,
ARI,51269,,,,,
860,1824000,,,,,
APO,67887,,,,,
APOLLOHOSP,40636,,,,,
APOLLOTYRE,103945,,,,,
APX,40273,,,,,
APPF,6125,,,,,
APPN,13357,,,,,
APLE,77241,,,,,
AAPL,6153664,,,,,
AIT,13912,,,,,
AMAT,355352,,,,,
APPS,55185,,,,,
003060,108181,,,,,
ATR,25186,,,,,
APTV,104723,,,,,
1080,240690,,,,,
3010,14420,,,,,
4321,57433,,,,,
ARTC,245437,,,,,
4968,7400,,,,,
ARMK,85961,,,,,
ARMX,132235,,,,,
2733,4400,,,,,
ARB,23312,,,,,
ARBN,15299,,,,,
ARX,130819,,,,,
AC*,155900,,,,,
ARCAD,25674,,,,,
3596,53099,,,,,
ARCLK,59514,,,,,
MT,278141,,,,,
